MC_PITCHRATE_P,MC_PITCH_P,MC_ROLLRATE_P,MC_ROLL_P,MC_PITCHRATE_D,MC_PITCHRATE_I,MC_PITCHRATE_K,MC_ROLLRATE_D,MC_ROLLRATE_I,MC_ROLLRATE_K,MPC_THR_MAX,MC_PITCHRATE_MAX,MPC_THR_MIN,dist,max_alt_dif,avg_spd,max_speed,max_speed_horizontal,max_speed_up,max_speed_down,max_tilt_angle
0.38,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,91.9,11,4.2,28.1,27.8,8.7,7.4,47.9
0.01,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,90.3,11,4.3,28.1,27.8,9.6,4.7,49.5
0.6,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,87.9,10,4.2,28.1,27.8,6.6,4.7,47.9
0.08,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,88.5,10,4.3,28,27.7,9.8,4.7,54
0.15,9.3,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,89.4,10,4.3,28.1,27.8,9.1,4.7,52.9
0.15,3.3,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,90.6,11,4.3,28.1,27.8,10.2,4.7,47.8
0.15,12,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,88.4,10,4.3,28.1,27.8,9.3,4.7,54.5
0.15,0,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,89.1,10,4.3,28.1,27.8,9.5,4.7,49.3
0.15,6.5,0.33,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,88.6,10,4.2,28.1,27.8,9.4,4.7,49.3
0.15,6.5,0.01,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,88.4,10,4.3,28.1,27.8,9.6,4.7,49.3
0.15,6.5,0.5,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,93.5,11,4,28.1,27.8,6.2,7.2,47.7
0.15,6.5,0.08,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,88.7,10,4.3,28.1,27.8,9.5,4.7,49.4
0.15,6.5,0.15,9.3,0.003,0.2,1,0.003,0.2,1,1,220,0.12,90,11,4.3,28.1,27.8,9.7,4.7,49.3
0.15,6.5,0.15,3.3,0.003,0.2,1,0.003,0.2,1,1,220,0.12,89.9,11,4.2,28.1,27.8,9.7,4.7,49.5
0.15,6.5,0.15,12,0.003,0.2,1,0.003,0.2,1,1,220,0.12,89.3,10,4.3,28.1,27.8,9.5,4.7,49.3
0.15,6.5,0.15,0,0.003,0.2,1,0.003,0.2,1,1,220,0.12,90.2,11,4.3,28.1,27.7,9.7,4.7,49.3
0.15,6.5,0.15,6.5,0.01,0.2,1,0.003,0.2,1,1,220,0.12,88.7,10,4.4,28.1,27.8,9.7,4.7,50.7
0.15,6.5,0.15,6.5,0.0015,0.2,1,0.003,0.2,1,1,220,0.12,94.1,12,4.3,28.1,27.8,9.5,8,48.6
0.15,6.5,0.15,6.5,12,0.2,1,0.003,0.2,1,1,220,0.12,90.9,12,4.2,28.1,27.7,9.6,4.7,48.9
0.15,6.5,0.15,6.5,0,0.2,1,0.003,0.2,1,1,220,0.12,89.9,11,4.3,28,27.7,9.4,4.7,47.8
