MC_PITCHRATE_P,MC_PITCH_P,MC_ROLLRATE_P,MC_ROLL_P,MC_PITCHRATE_D,MC_PITCHRATE_I,MC_PITCHRATE_K,MC_ROLLRATE_D,MC_ROLLRATE_I,MC_ROLLRATE_K,MPC_THR_MAX,MC_PITCHRATE_MAX,MPC_THR_MIN,dist,directional diff,max_alt_dif,max_tilt_angle,instabilities
0.6,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,93.6,2.8,10,48.1,16
0.38,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,88.3,-2.5,10,44.5,12
0.08,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,90.4,-0.4,11,60.6,26
0.15,3.3,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,90.7,-0.1,10,43.2,30
0.15,9.3,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,90.8,0,11,52.7,9
0.15,12,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,96.3,5.5,12,54.5,12
0.15,6.5,0.5,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,90.1,-0.7,10,47.6,12
0.15,6.5,0.33,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,88.8,-2,10,49.5,12
0.15,6.5,0.08,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.12,89.9,-0.9,11,49.2,19
0.15,6.5,0.15,3.3,0.003,0.2,1,0.003,0.2,1,1,220,0.12,94.9,4.1,11,49.3,17
0.15,6.5,0.15,9.3,0.003,0.2,1,0.003,0.2,1,1,220,0.12,88.7,-2.1,10,49.5,12
0.15,6.5,0.15,12,0.003,0.2,1,0.003,0.2,1,1,220,0.12,94.5,3.7,11,49.5,12
0.15,6.5,0.15,6.5,0.01,0.2,1,0.003,0.2,1,1,220,0.12,88.2,-2.6,10,53.7,16
0.15,6.5,0.15,6.5,0.0015,0.2,1,0.003,0.2,1,1,220,0.12,88.6,-2.2,10,47.9,10
0.15,6.5,0.15,6.5,0,0.2,1,0.003,0.2,1,1,220,0.12,88.6,-2.2,10,46,9
0.15,6.5,0.15,6.5,0.003,0.6,1,0.003,0.2,1,1,220,0.12,88.4,-2.4,10,50,10
0.15,6.5,0.15,6.5,0.003,12,1,0.003,0.2,1,1,220,0.12,90.8,0,10,48.2,12
0.15,6.5,0.15,6.5,0.003,0.1,1,0.003,0.2,1,1,220,0.12,90.2,-0.6,11,48.6,9
0.15,6.5,0.15,6.5,0.003,0,1,0.003,0.2,1,1,220,0.12,94.7,3.9,12,48.2,11
0.15,6.5,0.15,6.5,0.003,0.2,0.505,0.003,0.2,1,1,220,0.12,91,0.2,11,58.9,22
0.15,6.5,0.15,6.5,0.003,0.2,3,0.003,0.2,1,1,220,0.12,90,-0.8,10,44.4,12
0.15,6.5,0.15,6.5,0.003,0.2,5,0.003,0.2,1,1,220,0.12,156,65.2,11,45.6,35
0.15,6.5,0.15,6.5,0.003,0.2,1,0.01,0.2,1,1,220,0.12,89.7,-1.1,11,49.3,17
0.15,6.5,0.15,6.5,0.003,0.2,1,0.0015,0.2,1,1,220,0.12,90,-0.8,11,49.3,11
0.15,6.5,0.15,6.5,0.003,0.2,1,0.0065,0.2,1,1,220,0.12,88.9,-1.9,10,49.1,10
0.15,6.5,0.15,6.5,0.003,0.2,1,0,0.2,1,1,220,0.12,88.1,-2.7,10,49.3,8
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.6,1,1,220,0.12,91,0.2,11,49.4,9
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,12,1,1,220,0.12,89.8,-1,10,47.4,10
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.1,1,1,220,0.12,90,-0.8,11,49.2,8
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0,1,1,220,0.12,88.5,-2.3,10,49.2,11
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,0.505,1,220,0.12,88.3,-2.5,10,49.4,18
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,3,1,220,0.12,92,1.2,10,47.4,11
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,5,1,220,0.12,104.2,13.4,11,48.2,17
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,1800,0.12,88.5,-2.3,10,49.3,9
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,1010,0.12,90.1,-0.7,11,49.4,8
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,110,0.12,88.6,-2.2,10,47.4,11
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.56,88800,88709.2,10,49.3,11
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.085,88.6,-2.2,10,49.5,10
0.15,6.5,0.15,6.5,0.003,0.2,1,0.003,0.2,1,1,220,0.05,90.6,-0.2,11,49,8
