configuration no,MC_PITCHRATE_P,MC_PITCH_P,MC_ROLLRATE_P,MC_ROLL_P,dist,max_alt_dif,avg_speed,max_speed,max_speed_h,max_speed_up,max_speed_down,max_tilt,outcome,log_duration
1,0.6,9.3,0.15,9.3,96.9,10,3.6,27.4,27,5.8,5.5,47.7,pass,0:01:43
2,0.6,12,0.01,9.3,4.2,1,0.6,20.3,16.5,2.2,11.9,179.7,fail,0:00:35
3,0.38,6.5,0.33,3.3,91.7,12,4.3,28,27.7,8.7,4.7,44.5,pass,0:01:26
4,0.38,12,0.15,12,92.1,12,4.2,27.6,27.3,7.8,4.8,45.4,pass,0:01:28
5,0.6,0,0.15,6.5,30.9,10,3.4,11.8,11.7,6.9,3.8,40,fail,0:00:37
6,0.01,9.3,0.33,12,3.4,1,0.7,13.5,6.7,3.7,12.9,179.1,fail,0:00:32
7,0.6,9.3,0.08,12,162.5,10,3.7,26.7,26.3,9.5,8.2,53.7,pass,0:02:24
8,0.6,0,0.01,0,26.5,10,3,32,32,7,1.9,48.2,fail,0:00:37
9,0.38,12,0.15,6.5,89.2,10,4.3,27.6,27.3,7.9,4.8,45.5,pass,0:01:21
10,0.15,12,0.33,6.5,91.3,12,4.2,27.5,27.2,9.2,4.7,54.5,pass,0:01:28
11,0.38,3.3,0.01,6.5,6.5,1,1,27.5,25.4,3,10.7,179.2,fail,0:00:33
12,0.08,0,0.01,12,7.8,3,0.9,29,19.5,3.3,22.8,179.8,fail,0:00:34
13,0.01,12,0.08,12,3.6,1,0.6,16.8,8.6,4.4,16.6,179.7,fail,0:00:32
14,0.15,12,0.08,12,91.8,12,4,27.6,27.3,9.2,4.7,58.1,pass,0:01:31
15,0.15,3.3,0.01,3.3,18.2,6,2.2,30.8,23.2,5.9,28.4,178.5,fail,0:00:38
16,0.08,3.3,0.08,12,91.7,11,4.2,29,28.7,10.3,4.8,51.7,pass,0:01:25
17,0.6,9.3,0.5,0,68.7,11,2.9,16.2,16.2,4.3,15.1,46.1,fail,0:01:25
18,0.08,6.5,0.15,12,92.1,12,4.1,28.9,28.6,9.6,4.7,60.3,pass,0:01:30
19,0.15,3.3,0.15,6.5,90.4,10,4.4,28.7,28.3,10.1,4.6,43.2,pass,0:01:20
20,0.6,9.3,0.5,3.3,1430.4,10,0.6,12.4,8.1,8.1,12.3,20.8,fail,2:46:21
21,0.6,6.5,0.33,0,28.8,10,2.3,26.4,26.3,5.8,1.1,42.5,fail,0:00:51
22,0.6,3.3,0.08,12,93.2,10,3.6,29.1,28.8,6.1,5,52.4,pass,0:01:30
23,0.01,6.5,0.01,3.3,5.4,2,1,20,13.3,3.1,15,179.8,fail,0:00:33
24,0.08,6.5,0.33,9.3,91.2,11,4.2,28.8,28.5,9.7,4.7,60,pass,0:01:26
25,0.01,6.5,0.15,6.5,4.1,1,0.7,18.6,13.3,3.1,16.3,178.9,fail,0:00:34
26,0.15,6.5,0.08,3.3,89.4,10,4.2,28.2,27.9,9.8,4.7,49.2,pass,0:01:22
27,0.38,6.5,0.15,12,91.2,12,4.2,28,27.7,8.8,4.7,44.5,pass,0:01:28
