MC_PITCHRATE_P,MC_PITCH_P,MC_ROLLRATE_P,MC_ROLL_P,max_tilt
0.6,12,0.01,9.3,179.7
0.6,0,0.15,6.5,40
0.01,9.3,0.33,12,179.1
0.6,0,0.01,0,48.2
0.38,3.3,0.01,6.5,179.2
0.08,0,0.01,12,179.8
0.01,12,0.08,12,179.7
0.15,3.3,0.01,3.3,178.5
0.6,9.3,0.5,0,46.1
0.6,9.3,0.5,3.3,20.8
0.6,6.5,0.33,0,42.5
0.01,6.5,0.01,3.3,179.8
0.01,6.5,0.15,6.5,178.9
0.01,0,0.5,9.3,47.5
0.08,6.5,0.33,0,60.1
0.01,3.3,0.15,6.5,179.7
0.15,0,0.33,12,37.4
0.08,3.3,0.01,12,179.2
0.01,6.5,0.15,0,179.9
0.01,0,0.01,6.5,178.9
0.08,0,0.5,3.3,47.3
0.01,9.3,0.08,3.3,179.8
0.08,12,0.08,0,64.4
0.15,12,0.01,6.5,179.4
0.01,0,0.01,0,47.6
0.08,12,0.01,6.5,178.5
0.01,12,0.15,3.3,179
0.01,0,0.08,3.3,48
0.01,0,0.33,12,45.4
0.6,3.3,0.08,0,49.5
0.15,6.5,0.01,6.5,179.1
0.01,3.3,0.08,0,179.6
0.08,0,0.5,12,42.8
0.6,9.3,0.01,6.5,178.2
0.38,0,0.33,9.3,47.3
0.38,9.3,0.5,0,46.1
0.01,12,0.08,9.3,178.7
0.01,9.3,0.15,9.3,179
0.15,0,0.5,6.5,46.7
0.08,0,0.08,12,27
0.38,9.3,0.08,0,44.7
0.01,6.5,0.08,12,178.8
0.15,0,0.01,9.3,179.9
0.15,0,0.15,0,48.6
0.08,0,0.33,6.5,29.2
0.38,0,0.33,0,48.3
0.08,0,0.33,3.3,24.4
0.01,9.3,0.15,6.5,179.4
0.08,12,0.01,0,64
0.6,0,0.01,6.5,179.1
0.15,0,0.08,12,50.6
0.01,0,0.15,9.3,47.1
0.08,3.3,0.08,0,53.4
0.08,6.5,0.01,0,60.2
0.6,6.5,0.01,9.3,178.4
0.6,3.3,0.5,12,20.1
0.01,12,0.01,3.3,179.3
0.6,3.3,0.5,9.3,11.7
0.08,9.3,0.33,0,62.8
0.38,0,0.5,3.3,49.2
0.15,6.5,0.15,0,49.3
0.01,0,0.15,6.5,47.1
0.6,0,0.01,3.3,179.9
0.15,12,0.5,0,46.7
0.01,0,0.33,9.3,21.5
0.01,12,0.33,3.3,179.4
0.15,0,0.33,6.5,45.5
0.01,9.3,0.08,0,179.6
0.15,6.5,0.01,12,179
0.01,12,0.5,0,179.8
0.6,12,0.08,0,34.5
0.15,9.3,0.01,12,179.4
0.01,12,0.5,9.3,179.9
0.01,3.3,0.5,9.3,179.4
0.38,12,0.33,0,44.8
0.6,0,0.08,12,47.7
0.38,6.5,0.01,3.3,179.5
0.01,6.5,0.5,12,179.8
0.01,0,0.08,6.5,49.8
0.6,9.3,0.01,0,43.9
0.08,6.5,0.08,0,60.6
0.01,3.3,0.5,6.5,179.5
0.15,0,0.5,3.3,36.2
0.08,3.3,0.15,0,49.6
0.01,9.3,0.15,3.3,178.8
0.01,12,0.5,12,179.3
0.38,3.3,0.01,12,178.7
0.6,0,0.33,0,48.7
0.08,9.3,0.01,3.3,178.8
0.15,12,0.08,0,54.3
0.38,0,0.01,3.3,179.3
0.38,3.3,0.01,9.3,179.4
0.01,6.5,0.33,6.5,179.4
0.6,9.3,0.5,9.3,22.6
0.6,0,0.15,9.3,31.8
0.08,12,0.08,12,66.2
0.01,12,0.01,12,179.9
0.38,0,0.5,0,47.6
0.01,6.5,0.01,0,179.8
0.01,9.3,0.15,12,179.9
0.01,3.3,0.5,0,179.9
0.38,9.3,0.33,0,44.6
0.38,3.3,0.01,3.3,179.6
0.38,3.3,0.01,0,45.6
0.6,0,0.33,3.3,30.6
0.01,3.3,0.5,3.3,179.3
0.08,12,0.01,3.3,179.8
0.15,0,0.08,6.5,52.1
0.6,0,0.15,3.3,43.6
0.15,3.3,0.01,9.3,179.4
0.38,0,0.33,6.5,14.6
0.6,0,0.33,6.5,48.5
0.6,0,0.5,0,26
0.01,9.3,0.01,12,180
0.6,12,0.01,12,177.8
0.01,0,0.5,6.5,47.5
0.15,9.3,0.08,0,52.1
0.6,0,0.15,0,48.6
0.08,0,0.15,0,47.6
0.38,0,0.08,6.5,28.7
0.38,6.5,0.01,12,178.9
0.08,9.3,0.5,0,51.2
0.38,3.3,0.33,0,43.7
0.01,6.5,0.5,3.3,179.6
0.15,0,0.15,6.5,39.4
0.08,6.5,0.01,12,179.7
0.01,3.3,0.33,3.3,179.8
0.08,0,0.5,6.5,46
0.38,6.5,0.15,0,44.4
0.6,0,0.08,9.3,48.4
0.01,9.3,0.5,3.3,179.1
0.15,9.3,0.33,0,51.6
0.38,6.5,0.01,6.5,179.8
0.01,12,0.15,6.5,179.7
