MC_PITCHRATE_P,MC_PITCH_P,MC_ROLLRATE_P,MC_ROLL_P,max_tilt
0.6,9.3,0.15,9.3,47.7
0.38,6.5,0.33,3.3,44.5
0.38,12,0.15,12,45.4
0.6,9.3,0.08,12,53.7
0.38,12,0.15,6.5,45.5
0.15,12,0.33,6.5,54.5
0.15,12,0.08,12,58.1
0.08,3.3,0.08,12,51.7
0.08,6.5,0.15,12,60.3
0.15,3.3,0.15,6.5,43.2
0.6,3.3,0.08,12,52.4
0.08,6.5,0.33,9.3,60
0.15,6.5,0.08,3.3,49.2
0.38,6.5,0.15,12,44.5
0.6,12,0.15,3.3,48.5
0.08,3.3,0.33,9.3,49.2
0.15,6.5,0.15,6.5,48.9
0.08,9.3,0.15,3.3,62.9
0.38,9.3,0.5,12,44.8
0.6,6.5,0.33,12,45.9
0.15,9.3,0.08,3.3,52.1
0.38,12,0.5,6.5,53.7
0.6,6.5,0.15,12,50
0.15,12,0.33,9.3,54.4
0.15,9.3,0.15,9.3,51.7
0.08,9.3,0.08,3.3,63.1
0.6,9.3,0.33,6.5,45.8
0.38,9.3,0.33,12,44.7
0.6,9.3,0.08,3.3,45.8
0.15,3.3,0.5,3.3,43.1
0.6,12,0.15,9.3,48.5
0.38,3.3,0.33,6.5,43.8
0.6,3.3,0.15,9.3,49
0.08,12,0.33,3.3,63
0.08,6.5,0.15,9.3,60.9
0.08,3.3,0.15,12,49.1
0.15,6.5,0.15,9.3,49
0.15,3.3,0.5,12,42.9
0.38,6.5,0.08,3.3,44.6
0.6,3.3,0.15,12,46
0.08,12,0.33,6.5,62.6
0.15,3.3,0.33,3.3,43.4
0.38,12,0.33,6.5,45.4
0.08,12,0.15,6.5,62.5
0.15,3.3,0.08,12,50.9
0.6,9.3,0.15,6.5,46.1
0.38,12,0.15,9.3,45.6
0.6,3.3,0.08,3.3,52.4
0.6,6.5,0.15,3.3,46
0.38,9.3,0.08,3.3,44.7
0.6,6.5,0.08,12,53.7
0.38,12,0.08,9.3,48.3
0.08,6.5,0.5,12,58.4
0.08,12,0.08,6.5,63.5
0.15,6.5,0.08,9.3,51.4
0.38,3.3,0.08,6.5,47.5
0.38,3.3,0.5,9.3,43.3
0.38,12,0.5,9.3,59.4
0.15,12,0.33,3.3,54.4
0.08,12,0.15,12,63.1
0.15,3.3,0.33,12,43.3
0.08,3.3,0.15,9.3,49.2
0.38,9.3,0.5,3.3,44.6
0.08,9.3,0.33,9.3,62.7
0.6,9.3,0.08,9.3,51
0.38,3.3,0.33,9.3,43.8
0.6,3.3,0.15,3.3,44.9
0.6,9.3,0.33,12,46.1
0.38,6.5,0.15,6.5,44.5
0.15,6.5,0.5,9.3,47
0.08,12,0.15,9.3,63.5
0.08,12,0.33,12,65.6
0.6,12,0.15,12,49.4
0.15,6.5,0.08,6.5,49.6
0.08,3.3,0.08,3.3,49.2
0.6,6.5,0.08,3.3,46
0.15,12,0.08,6.5,54.3
0.38,9.3,0.33,3.3,44.8
0.15,9.3,0.5,12,50.8
0.6,6.5,0.08,9.3,52.1
0.38,3.3,0.33,3.3,43.8
0.38,12,0.5,12,59.4
0.38,6.5,0.33,12,44.5
0.15,3.3,0.08,3.3,43.2
0.38,6.5,0.5,3.3,44.4
0.6,3.3,0.33,6.5,44.8
0.08,6.5,0.08,6.5,61.2
0.08,9.3,0.5,9.3,60.9
0.08,6.5,0.5,6.5,56.7
0.15,12,0.5,3.3,53.6
0.08,12,0.5,6.5,63.2
0.38,3.3,0.15,9.3,44.9
0.15,9.3,0.5,9.3,50.9
0.38,6.5,0.15,9.3,44.5
0.08,9.3,0.15,12,63
0.15,12,0.15,9.3,54.2
0.6,6.5,0.15,6.5,48.2
0.15,9.3,0.15,12,51.9
0.08,3.3,0.5,12,47.5
0.15,9.3,0.15,3.3,52
0.08,3.3,0.5,6.5,47.5
0.08,3.3,0.08,6.5,49.2
0.15,3.3,0.15,12,43.2
0.38,3.3,0.08,12,49.9
